celltype	min_cells_per_sample	min_samples_per_group	min_total_umi	max_single_sample_frac	min_cells_soft_floor	notes
*	20	2	10000	0.8	5	global default
pGC	30	2	15000	0.7	10	stricter proliferative GC example
rgGC	5	1	5000	0.9	3	rare subtype soft-threshold example
