# AUTO-GENERATED. Edit metadata/analysis_questions.tsv instead.
comparison_id	source_question_id	display_question_id	output_alias	report_title	layer_scope	contrast_axis	analysis_mode	analysis_unit	stat_level	group_var	ident_1	ident_2	subset_column	subset_value	aggregation_group_var	composition_group_var	batch_var	enabled	min_biological_replicates	force_exploratory	min_cells_per_group	logfc_threshold	produces_gene_program	gene_program_role	notes	min_cells_override	min_samples_override	total_umi_override	single_sample_frac_override
C03_GC_subtypes_pairwise_syf__pGC_vs_eGC_syf	C03_GC_subtypes_pairwise_syf	C03_GC_subtypes_pairwise_syf	C03_GC_subtypes_pairwise_syf	GC亚群pairwise in syf	GC_subcluster	pairwise	subtype_pairwise	whole_layer	cell_level_exploratory	cell_subtype	pGC	eGC	group_id	syf			batch	yes	2	no	3	0	yes	subtype_pairwise_deg	GC subtype pairwise within syf	-	-	-	-
C03_GC_subtypes_pairwise_syf__pGC_vs_rgGC_syf	C03_GC_subtypes_pairwise_syf	C03_GC_subtypes_pairwise_syf	C03_GC_subtypes_pairwise_syf	GC亚群pairwise in syf	GC_subcluster	pairwise	subtype_pairwise	whole_layer	cell_level_exploratory	cell_subtype	pGC	rgGC	group_id	syf			batch	yes	2	no	3	0	yes	subtype_pairwise_deg	GC subtype pairwise within syf	-	-	-	-
C03_GC_subtypes_pairwise_syf__pGC_vs_lGC_syf	C03_GC_subtypes_pairwise_syf	C03_GC_subtypes_pairwise_syf	C03_GC_subtypes_pairwise_syf	GC亚群pairwise in syf	GC_subcluster	pairwise	subtype_pairwise	whole_layer	cell_level_exploratory	cell_subtype	pGC	lGC	group_id	syf			batch	yes	2	no	3	0	yes	subtype_pairwise_deg	GC subtype pairwise within syf	-	-	-	-
C03_GC_subtypes_pairwise_syf__eGC_vs_rgGC_syf	C03_GC_subtypes_pairwise_syf	C03_GC_subtypes_pairwise_syf	C03_GC_subtypes_pairwise_syf	GC亚群pairwise in syf	GC_subcluster	pairwise	subtype_pairwise	whole_layer	cell_level_exploratory	cell_subtype	eGC	rgGC	group_id	syf			batch	yes	2	no	3	0	yes	subtype_pairwise_deg	GC subtype pairwise within syf	-	-	-	-
C03_GC_subtypes_pairwise_syf__eGC_vs_lGC_syf	C03_GC_subtypes_pairwise_syf	C03_GC_subtypes_pairwise_syf	C03_GC_subtypes_pairwise_syf	GC亚群pairwise in syf	GC_subcluster	pairwise	subtype_pairwise	whole_layer	cell_level_exploratory	cell_subtype	eGC	lGC	group_id	syf			batch	yes	2	no	3	0	yes	subtype_pairwise_deg	GC subtype pairwise within syf	-	-	-	-
C03_GC_subtypes_pairwise_syf__rgGC_vs_lGC_syf	C03_GC_subtypes_pairwise_syf	C03_GC_subtypes_pairwise_syf	C03_GC_subtypes_pairwise_syf	GC亚群pairwise in syf	GC_subcluster	pairwise	subtype_pairwise	whole_layer	cell_level_exploratory	cell_subtype	rgGC	lGC	group_id	syf			batch	yes	2	no	3	0	yes	subtype_pairwise_deg	GC subtype pairwise within syf	-	-	-	-
C04_GC_subtypes_pairwise_f5__pGC_vs_eGC_f5	C04_GC_subtypes_pairwise_f5	C04_GC_subtypes_pairwise_f5	C04_GC_subtypes_pairwise_f5	GC亚群pairwise in f5	GC_subcluster	pairwise	subtype_pairwise	whole_layer	cell_level_exploratory	cell_subtype	pGC	eGC	group_id	f5			batch	yes	2	no	3	0	yes	subtype_pairwise_deg	GC subtype pairwise within f5	-	-	-	-
C04_GC_subtypes_pairwise_f5__pGC_vs_rgGC_f5	C04_GC_subtypes_pairwise_f5	C04_GC_subtypes_pairwise_f5	C04_GC_subtypes_pairwise_f5	GC亚群pairwise in f5	GC_subcluster	pairwise	subtype_pairwise	whole_layer	cell_level_exploratory	cell_subtype	pGC	rgGC	group_id	f5			batch	yes	2	no	3	0	yes	subtype_pairwise_deg	GC subtype pairwise within f5	-	-	-	-
C04_GC_subtypes_pairwise_f5__pGC_vs_lGC_f5	C04_GC_subtypes_pairwise_f5	C04_GC_subtypes_pairwise_f5	C04_GC_subtypes_pairwise_f5	GC亚群pairwise in f5	GC_subcluster	pairwise	subtype_pairwise	whole_layer	cell_level_exploratory	cell_subtype	pGC	lGC	group_id	f5			batch	yes	2	no	3	0	yes	subtype_pairwise_deg	GC subtype pairwise within f5	-	-	-	-
C04_GC_subtypes_pairwise_f5__eGC_vs_rgGC_f5	C04_GC_subtypes_pairwise_f5	C04_GC_subtypes_pairwise_f5	C04_GC_subtypes_pairwise_f5	GC亚群pairwise in f5	GC_subcluster	pairwise	subtype_pairwise	whole_layer	cell_level_exploratory	cell_subtype	eGC	rgGC	group_id	f5			batch	yes	2	no	3	0	yes	subtype_pairwise_deg	GC subtype pairwise within f5	-	-	-	-
